scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,formation_arc_drift,formation_offsets,primary_disc_unc,refinement_min_slack,refinement_status
s024,90,9.7965,formation,formation,2,true,,1080.9484030592027,5.573091839383849,1.1761,15.9,1.0181,66,1080.948,"[4.0581, 5.5731]","[4.5358, 5.6707]",[0.0],[1],5.670703737742363,0.010738984987632814,optimized
s024,80,8.7080,formation,formation,2,true,,1080.9755082905785,5.568087542177146,1.1762,15.7,1.0054,66,1080.976,"[4.0685, 5.5681]","[4.5358, 5.6707]",[0.0],[1],5.670703737742363,0.010625750816191047,optimized
s024,70,7.6195,formation,formation,2,true,,1080.9090583866787,5.5710252210887425,1.1761,15.8,1.0120,66,1080.909,"[4.101, 5.571]","[4.5358, 5.6707]",[0.0],[1],5.670703737742363,0.010715997479447374,optimized
s024,60,6.5310,formation,formation,2,true,,1080.2757984335603,5.634700191900583,1.1754,15.8,1.0138,66,1080.276,"[4.1387, 5.6347]","[4.5358, 5.6707]",[0.0],[1],5.670703737742363,0.005525694943971971,optimized
s024,50,5.4425,formation,formation,2,true,,1151.4010093958325,5.209192568045162,1.2528,13.9,0.8900,68,1151.401,"[5.7187, 5.2092]","[5.7881, 5.2489]",[0.0],[1],5.248949433528029,0.016101727078004155,optimized
s024,40,4.3540,formation,formation,2,false,recovery_failed,1154.735533166351,5.248949433528029,,14.2,0.9110,9374,1154.736,"[5.7881, 5.2489]","[5.7881, 5.2489]",[0.0],[1],5.248949433528029,-0.8949539275280287,recovery_failed
s024,30,3.2655,formation,formation,2,false,not_run_after_fail,,,,0.0,,,,,,,,,,
s025,100,5.2959,formation,formation,2,true,,816.9956941718991,4.463550983414588,1.0744,13.9,0.9110,17,816.996,"[1.0169, 4.4636]","[1.0537, 1.4912]",[0.0],[-1],1.4911862776269589,3.6600119156228172e-6,optimized
s025,90,4.7663,formation,formation,2,true,,848.6233522624271,1.999481023460646,1.1160,13.8,0.9014,17,848.623,"[1.0366, 1.9995]","[1.0537, 1.4912]",[0.0],[-1],1.4911862776269589,0.01487786111106117,optimized
s025,80,4.2367,formation,formation,2,true,,848.7129163886457,2.0010353920110004,1.1161,13.8,0.9061,17,848.713,"[1.038, 2.001]","[1.0537, 1.4912]",[0.0],[-1],1.4911862776269589,0.014905166276073096,optimized
s025,70,3.7071,formation,formation,2,true,,854.5884943560302,1.4975437982490865,1.1238,13.6,0.8877,17,854.588,"[1.045, 1.4975]","[1.0537, 1.4912]",[0.0],[-1],1.4911862776269589,0.016196703213214547,optimized
s025,60,3.1775,formation,formation,2,true,,854.589145334864,1.5052029742261293,1.1238,13.5,0.8851,17,854.589,"[1.0447, 1.5052]","[1.0537, 1.4912]",[0.0],[-1],1.4911862776269589,0.0161998456500186,optimized
