scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,astar_iterations,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc
s007,60,4.2835,discrete_only,discrete_only,2,true,,969.3611862626665,3.589755144427542,1.2397,17.0,1.1002,7294,969.361,"[3.3093, 3.5898]","[3.3093, 3.5898]",3.589755144427542
s007,50,3.5695,discrete_only,discrete_only,2,false,unc_violated,1203.8476395427274,3.589747435925803,,82.2,5.3341,1000000,1203.848,"[3.3093, 3.5897]","[3.3093, 3.5897]",3.589747435925803
s007,40,2.8556,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s007,30,2.1417,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s008,100,7.9691,discrete_only,discrete_only,2,true,,1119.3611862626667,4.620680126859332,1.1581,19.0,1.2096,23607,1119.361,"[4.4555, 4.6207]","[4.4555, 4.6207]",4.620680126859332
s008,90,7.1722,discrete_only,discrete_only,2,true,,1119.3611862626667,4.620680126859332,1.1581,18.9,1.2012,23607,1119.361,"[4.4555, 4.6207]","[4.4555, 4.6207]",4.620680126859332
s008,80,6.3753,discrete_only,discrete_only,2,true,,1119.3611862626667,4.620680126859332,1.1581,18.8,1.1952,23607,1119.361,"[4.4555, 4.6207]","[4.4555, 4.6207]",4.620680126859332
s008,70,5.5784,discrete_only,discrete_only,2,true,,1119.3611862626667,4.620680126859332,1.1581,18.8,1.1954,23607,1119.361,"[4.4555, 4.6207]","[4.4555, 4.6207]",4.620680126859332
s008,60,4.7815,discrete_only,discrete_only,2,true,,1119.3611862626667,4.620680126859332,1.1581,18.9,1.2004,23607,1119.361,"[4.4555, 4.6207]","[4.4555, 4.6207]",4.620680126859332
s008,50,3.9845,discrete_only,discrete_only,2,true,,1135.8623692497258,3.196715142138097,1.1752,19.2,1.2248,28638,1135.862,"[2.26, 3.1967]","[2.26, 3.1967]",3.196715142138097
s008,40,3.1876,discrete_only,discrete_only,2,true,,1135.8623692497258,3.1571650843440793,1.1752,20.0,1.2747,47422,1135.862,"[2.2321, 3.1572]","[2.2321, 3.1572]",3.1571650843440793
s008,30,2.3907,discrete_only,discrete_only,2,false,unc_violated,1381.9326596319565,3.15713806377966,,91.4,5.8179,1000000,1381.933,"[2.2321, 3.1571]","[2.2321, 3.1571]",3.15713806377966
s009,100,10.1238,discrete_only,discrete_only,2,true,,1154.735533166351,6.239511958425698,1.1667,17.6,1.1155,8144,1154.736,"[6.6447, 6.2395]","[6.6447, 6.2395]",6.239511958425698
s009,90,9.1114,discrete_only,discrete_only,2,true,,1154.735533166351,6.239511958425698,1.1667,17.6,1.1148,8144,1154.736,"[6.6447, 6.2395]","[6.6447, 6.2395]",6.239511958425698
s009,80,8.0991,discrete_only,discrete_only,2,true,,1154.735533166351,6.239511958425698,1.1667,17.6,1.1099,8144,1154.736,"[6.6447, 6.2395]","[6.6447, 6.2395]",6.239511958425698
s009,70,7.0867,discrete_only,discrete_only,2,true,,1154.735533166351,6.239511958425698,1.1667,17.4,1.1018,8144,1154.736,"[6.6447, 6.2395]","[6.6447, 6.2395]",6.239511958425698
s009,60,6.0743,discrete_only,discrete_only,2,true,,1119.3611862626667,5.379274131341327,1.1309,17.4,1.1027,8628,1119.361,"[5.1323, 5.3793]","[5.1323, 5.3793]",5.379274131341327
s009,50,5.0619,discrete_only,discrete_only,2,false,unc_violated,1154.735533166351,5.185604042936062,,92.9,5.8733,1000000,1154.736,"[5.0515, 5.1856]","[5.0515, 5.1856]",5.185604042936062
s009,40,4.0495,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s009,30,3.0371,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s010,100,7.6275,discrete_only,discrete_only,2,true,,834.3413642071902,4.213005482128301,1.3159,16.5,1.0753,512,834.341,"[3.975, 4.213]","[3.975, 4.213]",4.213005482128301
s010,90,6.8648,discrete_only,discrete_only,2,true,,834.3413642071902,4.213005482128301,1.3159,16.5,1.0744,512,834.341,"[3.975, 4.213]","[3.975, 4.213]",4.213005482128301
s010,80,6.1020,discrete_only,discrete_only,2,true,,834.3413642071902,4.213005482128301,1.3159,16.4,1.0700,512,834.341,"[3.975, 4.213]","[3.975, 4.213]",4.213005482128301
s010,70,5.3393,discrete_only,discrete_only,2,true,,834.3413642071902,4.213005482128301,1.3159,16.3,1.0633,512,834.341,"[3.975, 4.213]","[3.975, 4.213]",4.213005482128301
s010,60,4.5765,discrete_only,discrete_only,2,true,,834.3413642071902,4.213005482128301,1.3159,16.3,1.0666,512,834.341,"[3.975, 4.213]","[3.975, 4.213]",4.213005482128301
s010,50,3.8138,discrete_only,discrete_only,2,false,unc_violated,854.7355331663507,4.100918863282538,,91.5,5.9703,1000000,854.736,"[3.9751, 4.1009]","[3.9751, 4.1009]",4.100918863282538
s010,40,3.0510,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s010,30,2.2883,discrete_only,discrete_only,2,false,not_run_after_fail,,,,0.0,,,,,,
s011,100,7.1421,discrete_only,discrete_only,2,true,,600.0,2.897631268616616,1.0000,16.3,1.0620,8,600.0,"[2.0485, 2.8976]","[2.0485, 2.8976]",2.897631268616616
s011,90,6.4279,discrete_only,discrete_only,2,true,,600.0,2.897631268616616,1.0000,16.3,1.0655,8,600.0,"[2.0485, 2.8976]","[2.0485, 2.8976]",2.897631268616616
s011,80,5.7137,discrete_only,discrete_only,2,true,,600.0,2.897631268616616,1.0000,16.1,1.0521,8,600.0,"[2.0485, 2.8976]","[2.0485, 2.8976]",2.897631268616616
s011,70,4.9995,discrete_only,discrete_only,2,true,,600.0,2.897631268616616,1.0000,16.1,1.0524,8,600.0,"[2.0485, 2.8976]","[2.0485, 2.8976]",2.897631268616616
s011,60,4.2853,discrete_only,discrete_only,2,true,,600.0,2.897631268616616,1.0000,16.2,1.0546,8,600.0,"[2.0485, 2.8976]","[2.0485, 2.8976]",2.897631268616616
s011,50,3.5711,discrete_only,discrete_only,2,true,,600.0,2.897631268616616,1.0000,16.2,1.0572,8,600.0,"[2.0485, 2.8976]","[2.0485, 2.8976]",2.897631268616616
s011,40,2.8568,discrete_only,discrete_only,2,true,,1661.3552892404666,2.819967129438765,2.7689,59.9,3.9066,678918,1661.355,"[1.9936, 2.82]","[1.9936, 2.82]",2.819967129438765
s011,30,2.1426,discrete_only,discrete_only,2,false,unc_violated,1650.5744697627867,2.819966968795559,,91.1,5.9379,1000000,1650.574,"[1.9936, 2.82]","[1.9936, 2.82]",2.819966968795559
s012,100,7.5978,discrete_only,discrete_only,2,true,,1397.3040182721882,5.1034268608262465,1.2418,52.0,3.2962,270342,1397.304,"[5.1018, 5.1034]","[5.1018, 5.1034]",5.1034268608262465
