ev,iter,si,parent,g,h,f,uncs,nodes,reason
push,51,112,75,750.0,450.0,1200.0,7.514954,247,
pop,52,101,99,1200.0,,,6.263644,206,
prune,52,101,99,1200.0,,,6.263644,206,escort_unmet
pop,53,65,52,1200.0,,,6.263696,206,
prune,53,65,52,1200.0,,,6.263696,206,escort_unmet
pop,54,105,81,1050.0,,,6.923756,204,
push,54,113,105,1200.0,900.0,2100.0,7.861954,157,
prune,54,0,105,1200.0,,,8.626052,150,obstacle:1
push,54,114,105,1200.0,0.0,1200.0,8.460191,205,
pop,55,108,78,900.0,,,7.013911,198,
prune,55,0,108,1050.0,,,7.950329,151,obstacle:1
prune,55,0,108,1050.0,,,7.646139,144,obstacle:1
push,55,115,108,1050.0,150.0,1200.0,8.527132,199,
pop,56,104,88,600.0,,,7.024238,135,
push,56,116,104,750.0,450.0,1200.0,8.180295,188,
push,56,117,104,750.0,450.0,1200.0,7.463002,140,
prune,56,0,104,750.0,,,8.248971,183,obstacle:1
pop,57,111,75,750.0,,,7.190789,192,
push,57,118,111,900.0,450.0,1350.0,7.212483,145,
push,57,119,111,900.0,750.0,1650.0,8.153941,138,
push,57,120,111,900.0,300.0,1200.0,8.689063,193,
pop,58,84,80,1050.0,,,7.2164,264,
push,58,121,84,1200.0,0.0,1200.0,8.427995,210,
push,58,122,84,1200.0,750.0,1950.0,8.777275,203,
push,58,123,84,1200.0,900.0,2100.0,8.27841,265,
pop,59,69,60,1050.0,,,7.216425,264,
prune,59,0,69,1200.0,,,8.428013,210,dominated
prune,59,0,69,1200.0,,,8.777291,203,dominated
prune,59,0,69,1200.0,,,8.278435,265,dominated
pop,60,107,81,1050.0,,,7.247285,259,
prune,60,0,107,1200.0,,,8.301915,265,dominated
prune,60,0,107,1200.0,,,8.460191,210,dominated
push,60,124,107,1200.0,900.0,2100.0,8.805023,314,
pop,61,110,78,900.0,,,7.318277,253,
prune,61,0,110,1050.0,,,8.367278,259,dominated
prune,61,0,110,1050.0,,,8.526613,204,dominated
push,61,125,110,1050.0,450.0,1500.0,8.66511,308,
pop,62,117,104,750.0,,,7.463002,140,
prune,62,0,117,900.0,,,8.563233,146,obstacle:1
push,62,126,117,900.0,450.0,1350.0,3.605194,91,
prune,62,0,117,900.0,,,8.680261,194,obstacle:1
pop,63,112,75,750.0,,,7.514954,247,
prune,63,0,112,900.0,,,8.564128,253,dominated
prune,63,0,112,900.0,,,8.687959,198,dominated
push,63,127,112,900.0,450.0,1350.0,4.419929,302,
pop,64,116,104,750.0,,,8.180295,188,
push,64,128,116,900.0,450.0,1350.0,9.089137,248,
push,64,129,116,900.0,300.0,1200.0,9.48392,193,
prune,64,0,116,900.0,,,9.389665,243,obstacle:1
pop,65,121,84,1200.0,,,8.427995,210,
goal,65,121,84,1200.0,,,8.427995,210,
