node,parent,agent,x,y,heading,dist,unc,c11,c12,c22,on_solution
97,46,2,859.927755,75.349652,2.059573,1500.000000,5.373320,21.076835,-16.001081,51.699388,false
98,11,1,826.171024,475.822663,1.501469,1500.000000,11.601047,152.815280,-48.245978,133.760206,false
98,11,2,1230.917024,-84.788114,-0.250826,1500.000000,10.174401,213.068867,-68.673107,72.427586,false
99,32,1,803.064501,625.913392,1.613195,1650.000000,12.179287,121.312467,-40.746556,195.062908,false
99,32,2,803.064501,625.913392,1.613195,1650.000000,12.179287,121.312467,-40.746556,195.062908,false
100,32,1,368.616556,376.627883,3.029257,1800.000000,0.882342,1.152201,0.088646,0.532861,false
100,32,2,368.616556,376.627883,3.029257,1800.000000,0.882342,1.152201,0.088646,0.532861,false
101,13,1,790.239558,529.060541,2.159354,1650.000000,12.411033,161.112701,-43.935868,159.247267,false
101,13,2,799.642505,543.218859,2.096230,1650.000000,12.494188,161.871748,-44.382813,162.712284,false
102,24,1,-35.839484,-95.449041,5.212303,900.000000,10.998688,108.319557,-30.094664,143.461677,false
102,24,2,-35.839484,-95.449041,5.212303,900.000000,10.998688,108.319557,-30.094664,143.461677,false
103,28,1,460.244028,455.644784,-5.888029,1650.000000,1.311895,2.600700,0.335425,1.182216,false
103,28,2,1253.253811,276.835456,0.722967,1650.000000,12.062024,175.247931,8.958201,121.247066,false
104,49,1,911.602437,-419.113875,-0.400475,1200.000000,2.509209,11.054114,-3.007575,4.404399,false
104,49,2,523.068147,-555.871289,-1.947241,1200.000000,4.860463,21.043579,2.356371,26.784919,false
105,93,1,452.810033,281.361439,2.684028,1800.000000,2.838253,11.346361,0.897979,5.790431,false
105,93,2,16.993238,-485.358379,3.916324,1800.000000,9.110548,110.462011,52.231680,87.066077,false
106,50,1,1249.768265,76.347379,0.544821,1950.000000,9.793609,89.657172,22.917997,108.467390,false
106,50,2,720.082766,264.305840,3.026313,1950.000000,8.994782,85.652345,3.303305,76.550263,false
107,7,1,450.797780,289.564259,-0.243392,600.000000,1.937632,6.094268,-0.198951,2.319432,false
107,7,2,172.293849,395.218611,2.659802,600.000000,2.670736,11.575948,-0.377815,4.407417,false
108,13,1,1101.666390,542.236102,1.066802,1650.000000,12.749918,168.410774,17.630596,158.759006,false
108,13,2,1144.366460,512.308690,0.866508,1650.000000,12.743511,170.475881,18.414512,156.690224,false
109,59,1,933.054964,448.023511,1.131224,1500.000000,11.886527,131.439542,-16.642108,153.984766,false
109,59,2,933.054964,448.023511,1.131224,1500.000000,11.886527,131.439542,-16.642108,153.984766,false
110,42,1,1264.339164,-322.579484,-0.766884,1650.000000,10.951764,206.526914,-102.609693,120.636205,false
110,42,2,971.477195,438.592073,1.501469,1650.000000,12.371042,166.985624,-58.540661,160.786729,false
111,32,1,666.722860,309.392727,3.253763,1500.000000,2.436112,8.833058,-1.223407,4.156736,false
111,32,2,666.722860,309.392727,3.253763,1500.000000,2.436112,8.833058,-1.223407,4.156736,false
