helper,layer,node,arc,helper_unc,primary_unc,path
helper1,8,312,1050.0,3.861711208203972,7.38799332543824,1;230;235;290;350;355;361;312
helper1,8,312,1050.0,3.861823374171059,7.398326801213755,1;230;235;290;295;356;361;312
helper1,8,367,1050.0,3.7877802256013324,7.41666371568502,1;230;235;290;295;301;362;367
helper1,8,367,1050.0,3.7604500672296193,7.5680992910472655,1;230;284;344;349;355;361;367
helper1,8,367,1050.0,3.7604515624553527,7.568765660425098,1;230;235;290;350;355;361;367
helper1,8,259,1050.0,7.780771006838718,7.782556881556444,1;230;235;290;295;252;253;259
helper1,8,204,1050.0,8.097226774641326,7.782556881556444,1;230;235;290;295;252;253;204
helper1,8,308,1050.0,8.295559032786501,7.782556881556444,1;230;235;290;295;252;253;308
helper1,8,352,1050.0,0.8829862645268555,7.795656244276956,1;230;235;241;247;302;357;352
helper1,8,367,1050.0,3.7610427877406893,7.937139002878899,1;230;235;290;295;356;361;367
helper1,8,243,1050.0,7.295670295283689,8.071442085294668,1;127;73;74;80;141;189;243
helper1,8,248,1050.0,7.381887199512054,8.071442085294668,1;127;73;74;80;141;189;248
helper1,8,243,1050.0,7.2956808901058885,8.071461561229826,1;127;128;79;80;141;189;243
helper1,8,248,1050.0,7.3819003229164135,8.071461561229826,1;127;128;79;80;141;189;248
helper1,8,243,1050.0,7.295716001057609,8.071525490718725,1;175;133;79;80;141;189;243
helper1,8,248,1050.0,7.381944482306115,8.071525490718725,1;175;133;79;80;141;189;248
helper1,8,145,1050.0,7.703833276394402,8.296451736738174,1;230;235;290;295;252;191;145
helper1,8,138,1050.0,8.01967987243693,8.296451736738174,1;230;235;290;295;252;191;138
helper1,8,199,1050.0,8.297785202624329,8.296451736738174,1;230;235;290;295;252;198;199
helper1,8,93,1050.0,2.4563882419059033,8.43887796435451,1;127;73;74;31;32;38;93
helper1,8,93,1050.0,2.456768092462128,8.441053893990507,1;127;73;74;80;37;38;93
helper1,8,93,1050.0,2.456768095859228,8.441053924551968,1;127;128;79;80;37;38;93
helper1,8,93,1050.0,2.4567681068251335,8.441054022407561,1;175;133;79;80;37;38;93
helper1,8,340,1050.0,4.555361199358474,8.647892282991547,1;230;235;241;296;351;346;340
helper1,8,287,1050.0,5.251385779159455,8.647892282991547,1;230;235;241;296;351;346;287
helper1,8,84,1050.0,0.8713462988179702,9.113789314303993,1;230;284;289;246;192;145;84
helper1,8,91,1050.0,3.5662057989070326,9.113789314303993,1;230;284;289;246;192;145;91
helper1,8,254,1050.0,9.612343248428296,9.351342878950032,1;230;284;289;246;192;193;254
helper1,8,85,1050.0,0.8716646144609553,9.503992403149988,1;230;284;289;246;192;138;85
helper1,8,78,1050.0,6.402845949755314,9.503992403149988,1;230;284;289;246;192;138;78
helper1,8,131,1050.0,9.262244468524159,9.503992403149988,1;230;284;289;246;192;138;131
helper1,8,328,1050.0,7.423600480815752,9.576396479226684,1;230;235;290;345;340;334;328
helper1,8,274,1050.0,8.333694441605816,9.576396479226684,1;230;235;290;345;340;281;274
helper1,8,275,1050.0,8.333694441605816,9.576396479226684,1;230;235;290;345;340;334;275
helper1,8,227,1050.0,8.384883612826876,9.576396479226684,1;230;235;290;345;340;281;227
helper1,8,234,1050.0,8.70857752476653,9.576396479226684,1;230;235;290;345;340;281;234
helper1,8,265,1050.0,10.059928400090383,10.062445552551976,1;230;235;241;247;253;259;265
helper1,8,210,1050.0,10.415433185124106,10.062445552551976,1;230;235;241;247;253;259;210
helper1,8,314,1050.0,10.447137664142353,10.062445552551976,1;230;235;241;247;253;259;314
helper1,8,205,1050.0,10.06285330495362,10.062951098166758,1;230;235;241;192;193;199;205
helper1,8,260,1050.0,10.3705257508556,10.062951098166758,1;230;235;241;192;193;199;260
helper1,8,157,1050.0,10.407332764473638,10.062951098166758,1;230;235;241;192;193;199;157
helper1,8,205,1050.0,10.091463213778972,10.091557947451733,1;127;128;134;188;193;199;205
helper1,8,157,1050.0,10.394677092917942,10.091557947451733,1;127;128;134;188;193;199;157
helper1,8,260,1050.0,10.39921244118523,10.091557947451733,1;127;128;134;188;193;199;260
helper1,8,44,1050.0,1.000968311706663,10.284760800182598,1;127;128;134;140;91;43;44
helper1,8,29,1050.0,1.6304186875242168,10.284760800182598,1;127;128;134;140;91;36;29
helper1,8,199,1050.0,10.31156734129513,10.314327372843655,1;127;73;74;135;188;193;199
helper1,8,254,1050.0,10.226025005219753,10.318349580076855,1;127;73;74;135;188;193;254
helper1,8,205,1050.0,10.41325803815888,10.413346432208943,1;230;235;241;247;198;199;205
helper1,8,260,1050.0,10.673416604582982,10.413346432208943,1;230;235;241;247;198;199;260
helper1,8,157,1050.0,10.687196395354976,10.413346432208943,1;230;235;241;247;198;199;157
helper1,8,302,1050.0,4.367855480942724,10.541120601194786,1;127;73;74;135;188;248;302
helper1,8,297,1050.0,4.402074650087358,10.541120601194786,1;127;73;74;135;188;248;297
helper1,8,86,1050.0,2.5353972183562767,10.611095664387154,1;127;66;19;20;26;81;86
helper1,8,141,1050.0,3.560436807399759,10.611095664387154,1;127;66;19;20;26;81;141
helper1,8,136,1050.0,3.6245059983183223,10.611095664387154,1;127;66;19;20;26;81;136
helper1,8,86,1050.0,2.5354020743728,10.611343515245283,1;175;133;72;25;26;81;86
helper1,8,141,1050.0,3.560450832944409,10.611343515245283,1;175;133;72;25;26;81;141
helper1,8,136,1050.0,3.6245081154166665,10.611343515245283,1;175;133;72;25;26;81;136
helper1,8,29,1050.0,1.6304492103507155,10.714922721333284,1;175;133;134;140;91;36;29
