scenario_id,pct,threshold,method,algorithm,num_agents,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s,wall_ratio,clgbt_iterations,clgbt_tree_size,continuous_primary_length,continuous_uncertainties,discrete_uncertainties,primary_disc_unc,refinement_min_slack,refinement_status
s016,60,3.1979,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s016,50,2.6649,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s016,40,2.1319,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s016,30,1.5989,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s017,100,8.9550,clgbt,clgbt,2,true,,1395.9639566794463,6.806625572497076,1.5289,14.4,0.9237,1449,1089,1395.964,"[7.1198, 6.8066]","[6.9263, 7.6815]",7.6814801636325845,1.0657770485589246e-8,optimized
s017,90,8.0595,clgbt,clgbt,2,true,,1411.0310441062434,6.89456994696143,1.5454,14.2,0.9135,1449,1089,1411.031,"[7.1, 6.8946]","[6.9263, 7.6815]",7.6814801636325845,5.210640592612226e-9,optimized
s017,80,7.1640,clgbt,clgbt,2,false,recovery_failed,2095.9368006165896,6.023969998557502,,19.6,1.2593,1520,1136,2095.937,"[5.5918, 6.024]","[6.3621, 6.8328]",6.8327985975714975,-0.0006432705622957807,recovery_failed
s017,70,6.2685,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s017,60,5.3730,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s017,50,4.4775,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s017,40,3.5820,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s017,30,2.6865,clgbt,clgbt,2,false,not_run_after_fail,,,,0.0,,,,,,,,,
s023,100,5.0964,clgbt,clgbt,2,true,,1038.0014660107345,4.364438165395855,1.6326,12.9,0.8424,29,21,1038.001,"[4.0726, 4.3644]","[4.0733, 4.3651]",4.365099540352538,1.000090628366923e-9,seed_only
