scenario_id,seed,goal_dist,n_landmarks,n_obstacles,L_ref,U_ref,U_ref_cont,wall_ref
s061,1128,600.0,2,5,846.241,6.9261184457209986,5.922561444455371,16.2
s062,1129,700.0,2,5,986.500,7.182099730449521,4.962490009539309,16.5
s063,1130,700.0,3,5,864.203,5.000569803682694,6.36604166049045,16.5
s064,1131,700.0,2,4,,,,16.3
s065,1132,700.0,4,4,816.771,4.282984678029604,4.483710962297805,16.7
s066,1133,600.0,3,3,644.078,5.401449931149348,8.2807916109,16.0
s067,1134,700.0,2,5,813.632,8.000328278757594,8.728142654118505,16.4
s068,1135,600.0,4,4,796.935,5.269722064654872,4.563631394865237,16.4
s069,1136,700.0,3,5,919.407,5.3759897047547645,4.634469321238244,16.7
s070,1137,700.0,2,5,963.396,8.49153764337968,5.667713739676091,17.0
s071,1138,700.0,3,4,885.860,4.5053161845267775,5.664525871120803,16.3
s072,1139,800.0,3,4,819.867,9.94983907732979,8.903308892310683,16.5
s073,1140,600.0,4,4,601.267,7.103890979334431,7.205857773111514,16.0
s074,1141,800.0,4,4,888.967,7.523257184546633,6.245515863614018,16.8
s075,1142,600.0,4,5,705.446,6.182450820141928,5.648907308564554,16.0
s076,1143,600.0,2,4,708.454,6.301677496970598,9.913160794350453,16.3
s077,1144,600.0,4,3,600.002,6.831698268644847,7.130411029676753,15.6
s078,1145,800.0,3,3,866.192,8.639016018754834,7.578821875332533,16.5
s079,1146,800.0,4,5,999.152,6.358328232430332,5.991337284656765,16.8
s080,1147,800.0,4,3,850.219,7.559809245050544,5.951700368171649,16.8
s081,1148,700.0,3,3,768.296,4.435873713855191,5.255859730838743,16.3
s082,1149,700.0,4,5,804.320,4.469408886731291,6.738489850811837,16.3
s083,1150,800.0,4,4,935.140,8.036550016658552,6.980871683712732,16.6
s084,1151,600.0,4,3,618.032,3.914488017318911,7.686274160240018,16.1
s085,1152,800.0,4,5,960.619,8.844985171648524,7.919557010303897,16.6
s086,1153,700.0,2,4,759.620,4.84416477092887,7.53190092100616,16.3
s087,1154,700.0,4,5,891.607,5.179721911603157,4.757630344289668,16.5
s088,1155,800.0,3,3,800.002,7.936230109279783,8.196426927616471,16.5
s089,1156,600.0,3,4,748.809,4.295569616072083,4.803809900435848,16.1
s090,1157,600.0,3,3,744.696,7.696698442463248,6.441940821542831,16.0
s091,1158,700.0,4,4,720.014,4.921041533267966,6.413259817300151,16.3
s092,1159,700.0,2,5,895.088,8.630612395321878,7.067771833181222,16.4
s093,1160,700.0,2,5,805.555,8.22456914169419,8.668769320250231,16.5
s094,1161,800.0,2,5,871.645,10.960218764715165,10.267188555521937,16.7
s095,1162,800.0,3,3,800.489,9.886803486181071,8.274096828084609,16.7
s096,1163,600.0,4,5,895.178,7.984681462789208,4.916375178268057,16.5
s097,1164,600.0,3,3,639.732,8.404494224118443,8.60335720874055,16.1
s098,1165,600.0,4,3,848.866,4.2561460562360995,4.295587834273543,15.8
s099,1166,800.0,3,4,847.118,6.785841194583032,7.1374975188288845,16.5
s100,1167,600.0,3,4,644.288,7.820200516420215,7.588018924417513,16.1
s101,1168,800.0,4,3,801.851,9.441204803197179,8.306025249142698,16.6
