method,pct,agent,i,x,y
hexspline_cl,100,2,42,391.524934,88.688738
hexspline_cl,100,2,43,400.068163,88.688960
hexspline_cl,100,2,44,408.626310,88.689168
hexspline_cl,100,2,45,417.192011,88.689368
hexspline_cl,100,2,46,425.757906,88.689566
hexspline_cl,100,2,47,434.316631,88.689770
hexspline_cl,100,2,48,442.860824,88.689986
hexspline_cl,100,2,49,451.383122,88.690221
hexspline_cl,100,2,50,459.877299,88.690703
hexspline_cl,100,2,51,468.341671,88.692551
hexspline_cl,100,2,52,476.775692,88.697104
hexspline_cl,100,2,53,485.178815,88.705702
hexspline_cl,100,2,54,493.550492,88.719686
hexspline_cl,100,2,55,501.890175,88.740396
hexspline_cl,100,2,56,510.197319,88.769172
hexspline_cl,100,2,57,518.471375,88.807354
hexspline_cl,100,2,58,526.711796,88.856281
hexspline_cl,100,2,59,534.918036,88.917295
hexspline_cl,100,2,60,543.089547,88.991735
hexspline_cl,100,2,61,551.225781,89.080942
hexspline_cl,100,2,62,559.327745,89.185999
hexspline_cl,100,2,63,567.402657,89.306963
hexspline_cl,100,2,64,575.459286,89.443635
hexspline_cl,100,2,65,583.506404,89.595817
hexspline_cl,100,2,66,591.552781,89.763309
hexspline_cl,100,2,67,599.607188,89.945911
hexspline_cl,100,2,68,607.678396,90.143426
hexspline_cl,100,2,69,615.775174,90.355654
hexspline_cl,100,2,70,623.906295,90.582395
hexspline_cl,100,2,71,632.080528,90.823451
hexspline_cl,100,2,72,640.306643,91.078623
hexspline_cl,100,2,73,648.593413,91.347711
hexspline_cl,100,2,74,656.945780,91.629763
hexspline_cl,100,2,75,665.353383,91.920814
hexspline_cl,100,2,76,673.802031,92.216145
hexspline_cl,100,2,77,682.277535,92.511037
hexspline_cl,100,2,78,690.765705,92.800773
hexspline_cl,100,2,79,699.252353,93.080633
hexspline_cl,100,2,80,707.723289,93.345899
hexspline_cl,100,2,81,716.164324,93.591853
hexspline_cl,100,2,82,724.561267,93.813775
hexspline_cl,100,2,83,732.899930,94.006947
hexspline_cl,100,2,84,741.166124,94.166651
hexspline_cl,100,2,85,749.345658,94.288167
hexspline_cl,100,2,86,757.428216,94.369507
hexspline_cl,100,2,87,765.418973,94.419594
hexspline_cl,100,2,88,773.326972,94.450083
hexspline_cl,100,2,89,781.161262,94.472626
hexspline_cl,100,2,90,788.930889,94.498876
hexspline_cl,100,2,91,796.644897,94.540489
hexspline_cl,100,2,92,804.312335,94.609115
hexspline_cl,100,2,93,811.942247,94.716410
hexspline_cl,100,2,94,819.543680,94.874026
hexspline_cl,100,2,95,827.125680,95.093617
hexspline_cl,100,2,96,834.697293,95.386836
hexspline_cl,100,2,97,842.267567,95.765337
hexspline_cl,100,2,98,849.844042,96.234294
hexspline_cl,100,2,99,857.428248,96.772963
hexspline_cl,100,2,100,865.020209,97.354124
hexspline_cl,100,2,101,872.619950,97.950554
hexspline_cl,100,2,102,880.227496,98.535031
hexspline_cl,100,2,103,887.842871,99.080335
hexspline_cl,100,2,104,895.466100,99.559242
hexspline_cl,100,2,105,903.097208,99.944530
hexspline_cl,100,2,106,910.736219,100.208979
hexspline_cl,100,2,107,918.383159,100.325366
hexspline_cl,100,2,108,926.038052,100.266470
hexspline_cl,100,2,109,933.700923,100.005068
hexspline_cl,100,2,110,941.371982,99.528743
hexspline_cl,100,2,111,949.052186,98.884300
hexspline_cl,100,2,112,956.742676,98.133347
hexspline_cl,100,2,113,964.444595,97.337493
hexspline_cl,100,2,114,972.159084,96.558346
hexspline_cl,100,2,115,979.887286,95.857516
hexspline_cl,100,2,116,987.630343,95.296611
hexspline_cl,100,2,117,995.389396,94.937239
hexspline_cl,100,2,118,1003.165588,94.841011
hexspline_cl,100,2,119,1010.960061,95.069533
hexspline_cl,100,2,120,1018.773956,95.684416
hexspline_cl,100,2,121,1026.608416,96.747268
hexspline_cl,100,2,122,1034.463424,98.297003
hexspline_cl,100,2,123,1042.334333,100.281760
hexspline_cl,100,2,124,1050.215335,102.626983
hexspline_cl,100,2,125,1058.100625,105.258117
hexspline_cl,100,2,126,1065.984394,108.100606
hexspline_cl,100,2,127,1073.860837,111.079894
hexspline_cl,100,2,128,1081.724148,114.121426
hexspline_cl,100,2,129,1089.568519,117.150645
hexspline_cl,100,2,130,1097.388143,120.092996
hexspline_cl,100,2,131,1105.177215,122.873924
hexspline_cl,100,2,132,1112.929928,125.418872
hexspline_cl,100,2,133,1120.640474,127.653285
hexspline_cl,100,2,134,1128.305276,129.522328
hexspline_cl,100,2,135,1135.929665,131.050042
hexspline_cl,100,2,136,1143.521200,132.280192
hexspline_cl,100,2,137,1151.087440,133.256539
hexspline_cl,100,2,138,1158.635945,134.022848
hexspline_cl,100,2,139,1166.174274,134.622880
hexspline_cl,100,2,140,1173.709987,135.100398
hexspline_cl,100,2,141,1181.250643,135.499166
hexspline_cl,100,2,142,1188.803800,135.862947
hexspline_cl,100,2,143,1196.377020,136.235502
hexspline_cl,100,2,144,1203.977861,136.660596
hexspline_cl,100,2,145,1211.613881,137.181991
hexspline_cl,100,2,146,1219.291154,137.833223
hexspline_cl,100,2,147,1227.009796,138.606924
hexspline_cl,100,2,148,1234.768438,139.485499
hexspline_cl,100,2,149,1242.565711,140.451353
hexspline_cl,100,2,150,1250.400245,141.486890
hexspline_cl,100,2,151,1258.270670,142.574516
hexspline_cl,100,2,152,1266.175617,143.696636
hexspline_cl,100,2,153,1274.113715,144.835654
hexspline_cl,100,2,154,1282.083595,145.973976
hexspline_cl,100,2,155,1290.083887,147.094006
hexspline_cl,100,2,156,1298.113222,148.178150
hexspline_cl,100,2,157,1306.170229,149.208812
hexspline_cl,100,2,158,1314.253416,150.172382
hexspline_cl,100,2,159,1322.360793,151.071184
hexspline_cl,100,2,160,1330.490248,151.911527
hexspline_cl,100,2,161,1338.639668,152.699720
hexspline_cl,100,2,162,1346.806939,153.442072
hexspline_cl,100,2,163,1354.989950,154.144891
hexspline_cl,100,2,164,1363.186587,154.814487
hexspline_cl,100,2,165,1371.394737,155.457167
hexspline_cl,100,2,166,1379.612289,156.079242
hexspline_cl,100,2,167,1387.837128,156.687020
hexspline_cl,100,2,168,1396.067142,157.286809
hexspline_cl,100,2,169,1404.300219,157.884919
hexspline_cl,100,2,170,1412.539490,158.486354
hexspline_cl,100,2,171,1420.809066,159.090903
hexspline_cl,100,2,172,1429.138302,159.697050
hexspline_cl,100,2,173,1437.556554,160.303281
hexspline_cl,100,2,174,1446.093177,160.908079
hexspline_cl,100,2,175,1454.777527,161.509930
hexspline_cl,100,2,176,1463.638959,162.107318
hexspline_cl,100,2,177,1472.706829,162.698728
hexspline_cl,100,2,178,1482.010491,163.282644
