iter,stage,mu,len,unc,feasible,min_slack,backtracks
155,3,0.24499999999999997,1113.028112,1.797303,true,0.020401628468009442,0
160,3,0.24499999999999997,1112.189481,1.684866,true,0.020061510822475925,0
165,3,0.24499999999999997,1111.567653,1.606469,true,0.020002017531380586,0
170,3,0.24499999999999997,1110.958705,1.568793,true,0.020163014228369323,0
175,3,0.24499999999999997,1110.316767,1.563323,true,0.02044170623519971,0
180,3,0.24499999999999997,1109.689319,1.579264,true,0.02068847006520002,0
185,3,0.24499999999999997,1109.125047,1.594793,true,0.02091335693288947,0
190,3,0.24499999999999997,1108.621495,1.608400,true,0.021059499625100814,0
195,3,0.24499999999999997,1108.149678,1.615570,true,0.02108160433723205,0
200,3,0.24499999999999997,1107.689188,1.622177,true,0.02110238716999407,0
205,4,0.08574999999999998,1106.939659,1.668162,true,0.021121428853214653,0
210,4,0.08574999999999998,1105.964334,1.767850,true,0.021133884629976788,1
215,4,0.08574999999999998,1105.628481,1.750234,true,0.02051501816332538,0
220,4,0.08574999999999998,1105.050611,1.775821,true,0.019707052481795842,0
225,4,0.08574999999999998,1104.325799,1.816207,true,0.019005087572061617,0
230,4,0.08574999999999998,1103.913181,1.767819,true,0.018840048563670726,0
235,4,0.08574999999999998,1103.437663,1.740979,true,0.01913538168301194,0
240,4,0.08574999999999998,1102.892728,1.744891,true,0.019675750283790823,0
245,4,0.08574999999999998,1102.506275,1.718001,true,0.020293426782274415,0
250,4,0.08574999999999998,1102.114972,1.700001,true,0.02080822573976634,0
255,4,0.08574999999999998,1101.723479,1.707203,true,0.021186320155035115,0
260,4,0.08574999999999998,1101.448914,1.707907,true,0.02122390781566699,0
265,4,0.08574999999999998,1101.212404,1.711097,true,0.021238241348377304,0
270,5,0.03001249999999999,1100.854729,1.737598,true,0.021253941461261493,0
275,5,0.03001249999999999,1100.618210,1.753147,true,0.021263518215858014,0
280,5,0.03001249999999999,1100.292543,1.781361,true,0.021272143342677557,0
285,5,0.03001249999999999,1100.029204,1.797025,true,0.021008464699391913,0
289,6,0.010504374999999996,1100.000028,1.798839,true,0.020974170895614687,9
