method,scenario_id,pct,threshold,success,fail_reason,primary_length,primary_unc,length_ratio,wall_s
hexspline_cl,s037,80,4.6631,true,,1267.9792426076149,4.571900860426981,1.2069,26.2
hexspline_cl,s037,70,4.0802,true,,1373.1503471658573,3.657486187629644,1.3070,39.4
hexspline_cl,s037,60,3.4973,true,,1365.161715589575,3.3022514500859574,1.2994,90.5
hexspline_cl,s037,50,2.9144,true,,1362.7606581024552,2.9144391238392546,1.2972,90.5
hexspline_cl,s037,40,2.3316,false,recovery_failed,1369.8075713831863,2.645393795413967,,88.3
hexspline_cl,s037,30,1.7487,false,not_run_after_fail,,,,0.0
hexspline_cl,s038,100,9.7823,true,,1084.5743697991743,6.408270497750753,1.0931,18.7
hexspline_cl,s038,90,8.8041,true,,1084.5956297082146,6.405920102419328,1.0931,18.9
hexspline_cl,s038,80,7.8259,true,,1084.7040876681515,6.3723847847653206,1.0932,18.8
hexspline_cl,s038,70,6.8476,true,,1138.6773551532972,6.662490310080385,1.1476,18.7
hexspline_cl,s038,60,5.8694,false,recovery_failed,1151.3259693746593,6.216810889843119,,85.6
hexspline_cl,s038,50,4.8912,false,not_run_after_fail,,,,0.0
hexspline_cl,s038,40,3.9129,false,not_run_after_fail,,,,0.0
hexspline_cl,s038,30,2.9347,false,not_run_after_fail,,,,0.0
hexspline_cl,s040,100,6.6980,true,,844.2904896217905,6.698046200894538,1.1046,18.4
hexspline_cl,s040,90,6.0282,true,,882.0756279490729,6.028229644593013,1.1541,18.2
hexspline_cl,s040,80,5.3584,true,,891.5266222225791,5.352046229955032,1.1665,18.1
hexspline_cl,s040,70,4.6886,true,,893.6971767244828,4.688629311142039,1.1693,18.1
hexspline_cl,s040,60,4.0188,true,,958.502373038665,3.5736310555131534,1.2541,17.8
hexspline_cl,s040,50,3.3490,true,,1138.8786107337592,1.677382746332725,1.4901,20.2
hexspline_cl,s040,40,2.6792,true,,1138.8786107337592,1.677382746332725,1.4901,19.3
hexspline_cl,s040,30,2.0094,true,,1138.8786107337592,1.677382746332725,1.4901,19.3
hexspline_cl,s043,100,9.5090,true,,887.4215758502748,6.840204752295341,1.1569,18.8
hexspline_cl,s043,90,8.5581,true,,888.1017448163243,6.591801195264119,1.1577,18.7
hexspline_cl,s043,80,7.6072,true,,889.9097580640989,7.192131362343598,1.1601,18.7
hexspline_cl,s043,70,6.6563,true,,979.3463771726867,4.763661285800291,1.2767,18.6
hexspline_cl,s043,60,5.7054,true,,1123.507252093527,5.219989633301975,1.4646,20.5
hexspline_cl,s043,50,4.7545,false,recovery_failed,1138.8786107337592,5.116696420426597,,76.1
hexspline_cl,s043,40,3.8036,false,not_run_after_fail,,,,0.0
hexspline_cl,s043,30,2.8527,false,not_run_after_fail,,,,0.0
hexspline_cl,s045,100,8.7808,true,,985.3866838643295,6.007575653171747,1.2191,19.1
hexspline_cl,s045,90,7.9027,true,,979.8552212780365,5.763540221140126,1.2122,19.3
hexspline_cl,s045,80,7.0246,true,,1030.917129885523,3.674083679683503,1.2754,18.5
hexspline_cl,s045,70,6.1466,true,,1024.0218637819482,3.7444654152628907,1.2669,18.5
hexspline_cl,s045,60,5.2685,true,,1050.3090666334986,4.468314524537825,1.2994,18.5
hexspline_cl,s045,50,4.3904,true,,1109.5808063953698,3.9625556155077284,1.3727,18.5
hexspline_cl,s045,40,3.5123,false,recovery_failed,1490.6848738927226,3.7284069777834126,,82.7
hexspline_cl,s045,30,2.6342,false,not_run_after_fail,,,,0.0
hexspline_cl,s046,100,10.0078,true,,1138.459880211453,6.930778996809287,1.1250,35.3
hexspline_cl,s046,90,9.0070,true,,1138.2558821963694,6.944908555934708,1.1248,35.1
hexspline_cl,s046,80,8.0062,true,,1138.1942660585516,6.908902542754702,1.1248,36.9
hexspline_cl,s046,70,7.0055,true,,1172.7665972003326,6.416542278727887,1.1589,36.5
hexspline_cl,s046,60,6.0047,true,,1395.5197954616003,4.03542311749972,1.3790,97.4
hexspline_cl,s046,50,5.0039,true,,1395.5197954616003,4.03542311749972,1.3790,92.7
hexspline_cl,s046,40,4.0031,false,recovery_failed,1395.5197954616003,4.03542311749972,,94.5
hexspline_cl,s046,30,3.0023,false,not_run_after_fail,,,,0.0
hexspline_cl,s047,100,5.8596,true,,1011.7349627541577,4.6081313646741355,1.4169,17.2
hexspline_cl,s047,90,5.2736,true,,1011.7349627541577,4.6081313646741355,1.4169,17.2
hexspline_cl,s047,80,4.6877,true,,1011.7349627541577,4.6081313646741355,1.4169,17.3
hexspline_cl,s047,70,4.1017,true,,1188.2639120805945,4.059426071966234,1.6642,20.1
hexspline_cl,s047,60,3.5158,false,recovery_failed,1787.2562868451837,3.627874123989221,,100.8
hexspline_cl,s047,50,2.9298,false,not_run_after_fail,,,,0.0
hexspline_cl,s047,40,2.3438,false,not_run_after_fail,,,,0.0
hexspline_cl,s047,30,1.7579,false,not_run_after_fail,,,,0.0
hexspline_cl,s048,100,6.4952,true,,941.4598444702094,3.1668846740366865,1.0146,18.4
hexspline_cl,s048,90,5.8457,true,,942.6419438990696,3.0655249595940677,1.0159,18.4
hexspline_cl,s048,80,5.1962,true,,946.1930347230076,2.909610707758327,1.0197,18.2
hexspline_cl,s048,70,4.5467,true,,1002.4529918885748,4.489748086278614,1.0803,17.5
hexspline_cl,s048,60,3.8971,true,,1106.8744076749972,3.1159026503342884,1.1928,18.9
hexspline_cl,s048,50,3.2476,true,,1089.155666192753,3.109640540062621,1.1738,19.1
hexspline_cl,s048,40,2.5981,false,recovery_failed,1105.6948264621967,2.9539334853596206,,96.7
hexspline_cl,s048,30,1.9486,false,not_run_after_fail,,,,0.0
hexspline_cl,s049,100,11.4189,true,,929.8585441484374,7.202696693618264,1.0111,18.3
hexspline_cl,s049,90,10.2770,true,,929.9877311965446,7.203258616853911,1.0112,18.4
hexspline_cl,s049,80,9.1351,true,,932.3687115243808,7.196866889289381,1.0138,18.2
hexspline_cl,s049,70,7.9932,true,,932.6417980124903,7.146122575796848,1.0141,18.2
